abr: sample current=4000kbps media=3183kbps net=17625kbps buf=2000ms vbuf=2000ms abuf=2005ms dur=2000ms prod=217pm n=2 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15922kbps buf=4000ms vbuf=4000ms abuf=4005ms dur=2000ms prod=235pm n=3 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16090kbps buf=6000ms vbuf=6000ms abuf=6005ms dur=2000ms prod=231pm n=4 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16370kbps buf=7668ms vbuf=7668ms abuf=7673ms dur=2000ms prod=227pm n=5 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16491kbps buf=9085ms vbuf=9085ms abuf=9090ms dur=2000ms prod=225pm n=6 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16496kbps buf=10668ms vbuf=10668ms abuf=10673ms dur=2000ms prod=224pm n=7 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16995kbps buf=12293ms vbuf=12293ms abuf=12298ms dur=2000ms prod=217pm n=8 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16710kbps buf=13876ms vbuf=13876ms abuf=13881ms dur=2000ms prod=224pm n=9 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16333kbps buf=15293ms vbuf=15293ms abuf=15298ms dur=2000ms prod=228pm n=10 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15680kbps buf=16876ms vbuf=16876ms abuf=16881ms dur=2000ms prod=237pm n=11 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16636kbps buf=18460ms vbuf=18460ms abuf=18465ms dur=2000ms prod=220pm n=12 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15863kbps buf=19876ms vbuf=19876ms abuf=19881ms dur=2000ms prod=231pm n=13 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16306kbps buf=21460ms vbuf=21460ms abuf=21465ms dur=2000ms prod=233pm n=14 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15535kbps buf=23085ms vbuf=23085ms abuf=23090ms dur=2000ms prod=240pm n=15 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16639kbps buf=24460ms vbuf=24460ms abuf=24465ms dur=2000ms prod=228pm n=16 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16401kbps buf=24876ms vbuf=24876ms abuf=24881ms dur=2000ms prod=232pm n=17 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=17448kbps buf=24876ms vbuf=24876ms abuf=24881ms dur=2000ms prod=214pm n=18 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16348kbps buf=24876ms vbuf=24876ms abuf=24881ms dur=2000ms prod=228pm n=19 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=17078kbps buf=24876ms vbuf=24876ms abuf=24881ms dur=2000ms prod=217pm n=20 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16444kbps buf=24876ms vbuf=24876ms abuf=24881ms dur=2000ms prod=224pm n=21 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15907kbps buf=24876ms vbuf=24876ms abuf=24881ms dur=2000ms prod=234pm n=22 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16592kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=228pm n=23 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15779kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=231pm n=24 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=17148kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=216pm n=25 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=17217kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=217pm n=26 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=15749kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=234pm n=27 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16794kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=223pm n=28 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16419kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=230pm n=29 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16713kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=228pm n=30 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16155kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=228pm n=31 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16504kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=225pm n=32 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16587kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=224pm n=33 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16854kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=221pm n=34 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16400kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=225pm n=35 decision=stay target=0kbps reason=None
abr: sample current=4000kbps media=3183kbps net=16751kbps buf=24835ms vbuf=24835ms abuf=24840ms dur=2000ms prod=219pm n=36 decision=stay target=0kbps reason=None
