abr: sample current=20000kbps media=18456kbps net=103850kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=321pm n=40 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102880kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=319pm n=41 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102188kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=316pm n=42 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102337kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=320pm n=43 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102649kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=325pm n=44 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=108228kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=325pm n=45 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102850kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=323pm n=46 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102778kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=324pm n=47 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=104566kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=320pm n=48 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103931kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=318pm n=49 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102922kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=325pm n=50 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102295kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=316pm n=51 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102940kbps buf=5293ms vbuf=5293ms abuf=5298ms dur=2000ms prod=321pm n=52 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102637kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=321pm n=53 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102753kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=320pm n=54 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102013kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=320pm n=55 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=101791kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=310pm n=56 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102105kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=317pm n=57 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102394kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=318pm n=58 decision=stay target=0kbps reason=None
