request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
4000,3775000,1,168824,2.0,214.6,6.0
4000,3775000,2,436912,2.014666,112.1,5.3
4000,3775000,3,736584,2.02,211.7,2.5
4000,3775000,4,684884,2.004,328.1,5.6
4000,3775000,5,304372,2.009333,215.0,5.1
4000,3775000,6,466616,2.0,323.1,4.8
4000,3775000,7,513052,2.0,222.2,5.8
4000,3775000,8,728688,2.004,222.1,5.5
4000,3775000,9,507976,2.0,329.9,6.2
4000,3775000,10,366600,2.0,204.7,5.8
4000,3775000,11,798060,2.0,322.3,6.5
4000,3775000,12,565692,2.004,209.2,5.7
4000,3775000,13,172396,2.0,214.9,6.1
4000,3775000,14,149084,2.0,214.3,6.5
4000,3775000,15,150212,2.0,111.6,6.2
4000,3775000,16,213380,2.004,213.4,6.0
4000,3775000,17,304560,2.0,218.3,6.2
4000,3775000,18,552156,2.0,111.7,4.3
4000,3775000,19,312080,2.0,213.5,5.9
4000,3775000,20,534108,2.004,205.6,6.1
4000,3775000,21,706316,2.0,320.3,5.7
4000,3775000,22,680184,2.0,322.2,6.2
4000,3775000,23,465676,2.0,215.2,6.4
4000,3775000,24,213756,2.004,214.6,6.6
4000,3775000,25,153408,2.0,106.1,3.2
4000,3775000,26,142316,2.0,218.8,6.7
4000,3775000,27,168448,2.0,213.8,6.8
4000,3775000,28,142504,2.004,111.5,4.4
4000,3775000,29,145700,2.0,208.4,6.2
4000,3775000,30,144196,2.0,222.0,6.1
4000,3775000,31,144572,2.0,222.1,6.0
4000,3775000,32,136864,2.004,105.3,5.0
4000,3775000,33,162808,2.0,214.0,6.3
4000,3775000,34,162056,2.0,213.8,5.0
4000,3775000,35,159236,2.0,214.6,4.7
4000,3775000,36,175404,2.004,212.4,6.7
4000,3775000,37,235564,2.0,213.3,5.7
4000,3775000,38,256996,2.0,217.8,6.3
4000,3775000,39,257184,2.0,221.0,5.4
6000,5696000,0,182548,2.044,430.1,5.4
6000,5696000,1,177096,2.0,212.8,6.3
6000,5696000,2,597840,2.0,216.9,5.2
6000,5696000,3,1094912,2.02,210.0,5.7
6000,5696000,4,982864,2.004,217.5,5.1
6000,5696000,5,472820,2.0,107.3,3.1
6000,5696000,6,560804,2.0,213.0,5.1
6000,5696000,7,711016,2.0,206.0,5.1
6000,5696000,8,1096792,2.0,111.8,6.8
6000,5696000,9,792984,2.009333,222.1,6.6
